gender,age,department,total_usetime,social_usetime,communication_usetime,entertainment_usetime,news_usetime,system_usetime,notification_usetime,view_order_top,view_order_middle,view_order_bottom,scenario,tol_111111,tol_1122,tol_123,tol_222,tol_24,tol_15
男,19～22歲,oe,五小時以上,一至二小時,半至一小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,ncsewy,nceswy,ncsewy,cneswy,cneswy,nceswy
男,22～28歲,mg,二至三小時,一至二小時,半小時以下,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,csnewy,csenwy,cnsewy,csenwy,csenwy,censwy
女,19～22歲,ee,三至四小時,半小時以下,三小時以上,一至二小時,半至一小時,半至一小時,半至一小時,最先看,中,最後看,commuting,cnwyse,cnwyes,cnwesy,cnwyes,cneswy,censwy
男,19～22歲,oe,二至三小時,一至二小時,半至一小時,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,cnwyse,cnwyes,cnwesy,cnwyes,cneswy,censwy
女,19～22歲,bi,五小時以上,二至三小時,一至二小時,二至三小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,csnewy,csenwy,cnsewy,csenwy,csenwy,censwy
女,19～22歲,bi,三至四小時,半至一小時,一至二小時,半小時以下,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,cnsewy,cneswy,cnsewy,cneswy,cneswy,censwy
女,29歲以上,oe,一至二小時,半至一小時,半小時以下,半小時以下,半至一小時,半小時以下,半小時以下,最先看,中,最後看,commuting,scewyn,scewny,scenwy,csewny,csenwy,scenwy
女,16～18歲,sc,一至二小時,半至一小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,commuting,scewyn,scewny,scenwy,csewny,csenwy,scenwy
男,19～22歲,ee,二至三小時,半至一小時,半至一小時,半至一小時,半至一小時,半小時以下,半小時以下,最後看,最先看,中,resting,ncswey,ncswey,ncsewy,cnswey,cneswy,nceswy
女,19～22歲,sc,五小時以上,二至三小時,半至一小時,半至一小時,半至一小時,半小時以下,半小時以下,最先看,中,最後看,wakingup,csneyw,csenwy,cnsewy,csenwy,csenwy,censwy
男,19～22歲,mg,二至三小時,半小時以下,半小時以下,一至二小時,半小時以下,半小時以下,半小時以下,最先看,最後看,中,working,scewyn,scewny,scenwy,csewny,csenwy,scenwy
男,19～22歲,mg,二至三小時,一至二小時,半至一小時,半至一小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,cswney,csnwey,csweny,csnwey,csenwy,censwy
女,19～22歲,lb,三至四小時,一至二小時,一至二小時,半小時以下,半至一小時,半小時以下,半小時以下,最先看,中,最後看,resting,escwny,escwny,ecsnwy,escwny,escnwy,ecnswy
女,19～22歲,sc,五小時以上,三小時以上,三小時以上,半小時以下,半至一小時,半至一小時,一至二小時,最先看,中,最後看,wakingup,cswnye,csnwey,csweny,csnwey,csenwy,censwy
男,19～22歲,cs,三至四小時,,,,,,,最先看,最後看,中,working,csnwye,csnwey,cnsewy,csnwey,csenwy,censwy
男,19～22歲,cs,三至四小時,半至一小時,半至一小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,cwnsye,cwnsey,cnwesy,cwnsey,cwensy,censwy
男,19～22歲,cs,二至三小時,,,,,,,最先看,中,最後看,resting,scnywe,scnyew,scnewy,csnyew,csenwy,scenwy
女,19～22歲,mg,三至四小時,一至二小時,半小時以下,三小時以上,半小時以下,半小時以下,半小時以下,中,最後看,最先看,working,csewny,csewny,cesnwy,csewny,csenwy,censwy
男,22～28歲,sc,三至四小時,一至二小時,一至二小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,working,ecsnyw,ecnswy,ecsnwy,censwy,censwy,ecnswy
男,22～28歲,cs,二至三小時,半至一小時,半小時以下,一至二小時,半小時以下,半小時以下,半小時以下,中,最先看,最後看,working,sncwye,sncwey,scnewy,nscwey,nscewy,scenwy
男,22～28歲,mg,五小時以上,二至三小時,一至二小時,二至三小時,半至一小時,半至一小時,半至一小時,最先看,中,最後看,working,cnwesy,cnewsy,cnwesy,cnewsy,cneswy,censwy
男,16～18歲,sc,三至四小時,半至一小時,一至二小時,一至二小時,半小時以下,半小時以下,半小時以下,最先看,中,最後看,wakingup,nyewsc,nyewcs,neycsw,nyewcs,nycesw,nceswy
